"tsID","n.steps","age.range","tot.mean","total_N","slope","slope.se","slope.p","adj.r.sq","df","sig","slope.min","slope.max","overlap.slope"
"644","10","3.8435125","4.10136882865385","1214","5.030174","0.7249762","0.000119806","0.839690410562763","8","TRUE","4.3051978","5.7551502","FALSE"
"648","23","8.92863716216216","5.64903552175215","1110","0.1185622","0.09996234","0.2488418","0.01815341132171","21","FALSE","0.01859986","0.21852454","FALSE"
"649","15","3.62855405405405","5.7850142770084","1140","0.1404468","0.07924628","0.09976761","0.132642807234556","13","FALSE","0.06120052","0.21969308","FALSE"
"650","17","2.24411486486487","5.82191780933426","1080","0.1700219","0.0532193","0.00602839","0.365240019981667","15","FALSE","0.1168026","0.2232412","FALSE"
"651","11","0.408263829787234","5.94148363022635","900","-0.06205636","0.2652194","0.8202352","-0.104393058850662","9","FALSE","-0.32727576","0.20316304","FALSE"
"655","7","3.39151489361702","5.93922797874361","840","0.01159445","0.0917613","0.9043752","-0.196180491066364","5","FALSE","-0.08016685","0.10335575","FALSE"
"656","12","2.0439527027027","5.69521551275535","570","0.05042738","0.06743109","0.4717795","-0.0417398204558002","10","FALSE","-0.01700371","0.11785847","FALSE"
"660","6","1.12324507389163","-1.04244034820345","542","0.1899107","0.1758387","0.3409019","0.0322194025536777","4","FALSE","0.014072","0.3657494","FALSE"
"661","6","1.2159421182266","1.67118939822019","746","0.001271963","0.01280328","0.9256428","-0.246923289455806","4","FALSE","-0.011531317","0.014075243","FALSE"
"700","46","0.013470468","3.04401977863933","2804","0.001120917","0.01299409","0.9316482","-0.0225543352957647","44","FALSE","-0.011873173","0.014115007","FALSE"
"global","1802","18","2.23164451935516","211470","0.408416218651819","0.0232105500042553","4.468667e-64","0.146293506307187","1800","TRUE","0.385205668647564","0.431626768656075","TRUE"
