"tsID","n.steps","age.range","tot.mean","total_N","slope","slope.se","slope.p","adj.r.sq","df","sig","slope.min","slope.max","overlap.slope"
455,6,0.003821,0.271845882833333,912,-0.4023489,0.5082961,0.4729087,-0.0807133837759522,4,FALSE,-0.910645,0.1059472,FALSE
459,209,0.23703998,2.47495365190096,10748,-0.2812394,0.07336621,0.0001676804,0.0617727067945005,207,TRUE,-0.35460561,-0.20787319,FALSE
460,26,0.13,6.00469425608954,1332,0.6723595,0.3559417,0.07104008,0.0931570353524345,24,FALSE,0.3164178,1.0283012,TRUE
461,27,0.14,6.20500350581083,1223,-0.06190798,0.4468301,0.8909163,-0.0392020632873897,25,FALSE,-0.50873808,0.38492212,FALSE
462,20,0.126327684,6.15250634063768,891,0.3932083,0.4988692,0.4408377,-0.0203392360744963,18,FALSE,-0.1056609,0.8920775,TRUE
464,21,0.107667,3.84279573350005,1183,0.006099519,0.08861138,0.9458406,-0.0523691409610079,19,FALSE,-0.082511861,0.094710899,FALSE
468,43,8.79,0.578605656693337,8600,-0.01428671,0.01022445,0.1698374,0.0221749772699953,41,FALSE,-0.02451116,-0.00406226,FALSE
469,43,8.79,0.895476690651674,8600,-0.008692242,0.01216227,0.478851,-0.0117853652642355,41,FALSE,-0.020854512,0.003470028,FALSE
474,14,3.5,4.51799448117494,623,-0.0125408,0.007387648,0.1153542,0.126439821767158,12,FALSE,-0.019928448,-0.005153152,FALSE
487,12,4.70596978,5.31578700078856,704,-0.02882241,0.08031674,0.7271613,-0.0860143101148412,10,FALSE,-0.10913915,0.05149433,FALSE
488,12,4.70596978,4.94060140062331,703,-0.06344301,0.08964588,0.4952905,-0.0475343428201493,10,FALSE,-0.15308889,0.02620287,FALSE
495,12,1.83,1.74508715130189,2216,-0.08925514,0.1903447,0.6491874,-0.0763336309375975,10,FALSE,-0.27959984,0.10108956,FALSE
497,29,14.98,1.95443927796217,5685,0.02629721,0.05456606,0.6337368,-0.0281923003007201,27,FALSE,-0.02826885,0.08086327,FALSE
499,18,18,1.83754682396722,3320,0.0114315,0.06096352,0.8536151,-0.0601701814712443,16,FALSE,-0.04953202,0.07239502,FALSE
505,8,5.457122549,4.35218465173874,474,0.4345498,0.2024833,0.07551147,0.339980991955058,6,FALSE,0.2320665,0.6370331,TRUE
507,9,5.457122549,4.99339712154956,526,-0.09771213,0.08051038,0.2642341,0.0558207703582693,7,FALSE,-0.17822251,-0.01720175,FALSE
510,7,0.722616666,4.84364284480096,621,0.03168723,0.02366671,0.2382494,0.116690957623814,5,FALSE,0.00802052,0.05535394,FALSE
512,8,1.88951,4.42808176731854,1245,0.04354616,0.05730161,0.476076,-0.0642310946570352,6,FALSE,-0.01375545,0.10084777,FALSE
513,34,2.5,4.66147065207613,1877,0.01450877,0.01055988,0.1790049,0.0261966309150239,32,FALSE,0.00394889,0.02506865,FALSE
550,6,2.003,0.575991390841324,351,0.3214976,0.1428346,0.08756381,0.448505553795217,4,FALSE,0.178663,0.4643322,TRUE
556,6,2.003,1.26530611287223,349,0.006223443,0.006762943,0.4095288,-0.0316047176687957,4,FALSE,-0.0005395,0.012986386,FALSE
560,18,4.553179274,-0.455686600588822,991,-0.143029,0.2141894,0.5137989,-0.0336913484578247,16,FALSE,-0.3572184,0.0711604,FALSE
579,7,1.26941176470588,3.71054315008587,1118,0.0005748584,0.002570111,0.8318652,-0.188112092910369,5,FALSE,-0.0019952526,0.0031449694,FALSE
581,263,0.30941525,1.19288788175632,12986,-0.03211472,0.00800381,7.855263e-05,0.0544915602359625,261,TRUE,-0.04011853,-0.02411091,FALSE
582,263,0.30941525,1.19288788175632,12986,-0.03211472,0.00800381,7.855263e-05,0.0544915602359625,261,TRUE,-0.04011853,-0.02411091,FALSE
583,51,5e-05,6.50845783102289,18468,0.06263686,0.06681596,0.3531232,-0.00242950688859556,49,FALSE,-0.00417909999999999,0.12945282,FALSE
605,6,4.53672,2.29709734173777,218,-0.000553733,0.001743664,0.7666987,-0.219259459168656,4,FALSE,-0.002297397,0.001189931,FALSE
606,6,4.53672,2.05097418141919,269,-0.0002872732,0.0006100921,0.6622648,-0.184352175181475,4,FALSE,-0.0008973653,0.0003228189,FALSE
607,6,4.53672,2.66788222728587,273,-0.0008941065,0.000710112,0.2764601,0.104800701087415,4,FALSE,-0.0016042185,-0.0001839945,FALSE
608,6,4.53672,6.32482252603648,268,0.0005161982,0.0002437205,0.1015715,0.410786688899085,4,FALSE,0.0002724777,0.0007599187,FALSE
610,6,4.53672,4.55933392454344,266,0.001485533,0.001981962,0.4952152,-0.0960610457282445,4,FALSE,-0.000496429,0.003467495,FALSE
612,22,1.0660478,2.52808474015446,660,-0.006426039,0.03405751,0.8522435,-0.0481342740691602,20,FALSE,-0.040483549,0.027631471,FALSE
613,22,1.0655193,0.365141210838817,660,-0.05986309,0.1658552,0.7219318,-0.0432048385361741,20,FALSE,-0.22571829,0.10599211,FALSE
614,20,1.061884,2.01475131505369,600,-0.03141757,0.02336255,0.1953965,0.0408130573748133,18,FALSE,-0.05478012,-0.00805502,FALSE
615,13,1.0641839,1.70669726233141,390,0.09342781,0.09679541,0.3551809,-0.00573025731423171,11,FALSE,-0.0033676,0.19022322,FALSE
616,13,1.06094,2.21809929984483,390,0.007390458,0.0307911,0.8147294,-0.0852255408071749,11,FALSE,-0.023400642,0.038181558,FALSE
617,28,1.1943637,2.60882454382072,840,0.01267919,0.01695796,0.4613604,-0.016603353761403,26,FALSE,-0.00427877,0.02963715,FALSE
618,19,1.1314319,2.60201616219584,570,-0.01161025,0.007275113,0.1289351,0.079135543161104,17,FALSE,-0.018885363,-0.004335137,FALSE
619,23,1.3827738,2.92613893326248,690,0.05377802,0.05488731,0.3383436,-0.00182205110057665,21,FALSE,-0.00110929,0.10866533,FALSE
620,18,1.6978411,1.40130445688751,540,0.1181748,0.09546237,0.2336037,0.030369190432704,16,FALSE,0.02271243,0.21363717,FALSE
621,23,1.61977,1.48838731474283,690,0.01389146,0.05370935,0.7984301,-0.0442924592119915,21,FALSE,-0.03981789,0.06760081,FALSE
622,25,1.3768218,1.37512427212909,750,0.1243994,0.03656461,0.002445569,0.305853391413145,23,TRUE,0.08783479,0.16096401,FALSE
623,18,1.6974757,2.93991639697386,540,-0.0442343,0.03775356,0.2584866,0.0214579679901528,16,FALSE,-0.08198786,-0.00648074,FALSE
624,23,1.436034,2.96670980936953,690,-0.02844508,0.02934134,0.3433528,-0.00274200267921088,21,FALSE,-0.05778642,0.000896259999999999,FALSE
625,13,0.5787007,0.578386482071434,390,0.02728541,0.1118685,0.8117929,-0.0850409766825435,11,FALSE,-0.08458309,0.13915391,FALSE
626,25,1.4322525,0.411756006859463,750,-0.06199232,0.07509884,0.4175815,-0.0134531194500733,23,FALSE,-0.13709116,0.01310652,FALSE
627,27,1.353352,0.571838350536706,810,-0.001204802,0.02978171,0.9680522,-0.0399319235399007,25,FALSE,-0.030986512,0.028576908,FALSE
628,18,1.1263977,0.450248664088905,540,-0.1273021,0.04341927,0.00977103,0.308836083224711,16,FALSE,-0.17072137,-0.08388283,FALSE
629,26,1.0828314,0.163823425034321,780,-0.1285289,0.03689185,0.001917002,0.308204018832755,24,TRUE,-0.16542075,-0.09163705,FALSE
630,13,0.5818308,2.68769598076936,390,-0.005311226,0.006793517,0.4508279,-0.0334827903524162,11,FALSE,-0.012104743,0.001482291,FALSE
631,25,1.4330212,2.63819379949455,750,-0.01401522,0.02527665,0.5846071,-0.0297141009945707,23,FALSE,-0.03929187,0.01126143,FALSE
632,25,1.0232234,2.48611093441928,750,-0.03623154,0.02711588,0.1945628,0.0316864958737528,23,FALSE,-0.06334742,-0.00911566,FALSE
643,19,3.74066301369863,4.48886397538291,1238,-0.03928083,0.04958815,0.4391929,-0.0211324538036093,17,FALSE,-0.08886898,0.01030732,FALSE
644,31,3.996625,4.10136882865385,1214,2.75907,0.4600621,1.605216e-06,0.538220135954858,29,TRUE,2.2990079,3.2191321,FALSE
648,37,9.37779358108108,5.64903552175215,1110,0.06919158,0.07448887,0.3593111,-0.00382493580659826,35,FALSE,-0.00529729,0.14368045,FALSE
649,38,3.96635135135135,5.7850142770084,1140,0.07709965,0.05441178,0.1650893,0.0265154246062674,36,FALSE,0.02268787,0.13151143,FALSE
650,36,2.50907432432432,5.82191780933426,1080,0.01691587,0.05474843,0.7592264,-0.0265294737604767,34,FALSE,-0.03783256,0.0716643,FALSE
651,30,0.48323829787234,5.94148363022635,900,0.1615037,0.1298405,0.2238636,0.0185192765158118,28,FALSE,0.0316632,0.2913442,FALSE
652,13,0.435348765957447,5.80647293600051,390,0.01549996,0.1529072,0.9210821,-0.0898909784580544,11,FALSE,-0.13740724,0.16840716,FALSE
653,19,0.635325063829787,5.73645351789344,570,0.04792211,0.05981047,0.4340534,-0.0202939782373119,17,FALSE,-0.01188836,0.10773258,FALSE
654,8,0.210387234042553,5.70218208362004,240,0.0217864,0.2327937,0.9284844,-0.164966112470009,6,FALSE,-0.2110073,0.2545801,FALSE
655,28,3.72977872340426,5.93922797874361,840,-0.02312438,0.05557911,0.6807786,-0.0315931902886379,26,FALSE,-0.07870349,0.03245473,FALSE
656,19,2.13178378378378,5.69521551275535,570,0.1249299,0.3052955,0.6874951,-0.0484956784075141,17,FALSE,-0.1803656,0.4302254,TRUE
657,7,0.886139162561574,1.67079812543438,578,-0.154572,0.2732994,0.5961171,-0.127845388954405,5,FALSE,-0.4278714,0.1187274,FALSE
658,7,0.882235221674881,-0.998530074238407,578,-0.4936447,0.3171598,0.1803282,0.191652367975715,5,FALSE,-0.8108045,-0.1764849,FALSE
659,10,1.11748768472906,1.70156631085128,542,-5.743714e-05,0.01345894,0.9966995,-0.124997438906504,8,FALSE,-0.01351637714,0.01340150286,FALSE
660,10,1.12324507389163,-1.04244034820345,542,0.1117141,0.08431481,0.2217757,0.077446237004306,8,FALSE,0.02739929,0.19602891,FALSE
661,9,1.2159421182266,1.67118939822019,746,-0.01314022,0.01235229,0.3227384,0.0161894201164272,7,FALSE,-0.02549251,-0.000787929999999999,FALSE
662,9,1.2225,-0.975792259924136,746,0.1061361,0.1479015,0.4962394,-0.0645419609140589,7,FALSE,-0.0417654,0.2540376,FALSE
700,51,0.013470468,3.04401977863933,2804,0.005715748,0.01151987,0.6219969,-0.0153071959295463,49,FALSE,-0.005804122,0.017235618,FALSE
